,N,country,lower_lim,rc_path,rc_time
ar,6723,argentina,837377,997901.0724107248,21.26718306541443
bm,33708,burma,959011,1132857.6308470857,106.44865012168884
ca,4663,canada,1290319,1546099.496473555,14.296315908432007
ch,71009,china,4565452,5365123.202161457,237.57471466064453
dj,38,djibouti,6656,7148.235614229821,0.23529505729675293
eg,7146,egypt,172350,211163.1638778166,23.67200207710266
ei,8246,ireland,206171,241132.86702215625,24.9912109375
fi,10639,finland,520527,610253.1662210015,33.26098895072937
gr,9882,greece,300899,351437.5272661074,30.818535804748535
ho,7103,honduras,176940,203457.82314336943,22.795764923095703
it,16862,italy,557315,659179.9871447886,51.56071901321411
ja,9847,japan,491924,588963.8181687006,33.086524963378906
kz,9976,kazakhstan,1061387,1267801.2801590548,31.953564167022705
lu,634,luxembourg,11340,12969.474469815259,1.9934062957763672
mo,14185,morocco,427246,505260.65916230314,45.9264760017395
mu,1979,oman,86891,112024.57366628428,6.461566925048828
nu,2373,nicaragua,96132,111163.22478366469,7.612839937210083
pm,4951,panama,114831,135979.53124795566,16.88128685951233
qa,194,qatar,9352,10494.098224308455,0.6542000770568848
rw,866,rwanda,26051,29765.375374033014,2.876386880874634
sw,24978,sweden,855597,1009071.7546472419,83.30836415290833
tz,6117,tanzania,394609,464427.2441708844,19.979671001434326
vm,22775,vietnam,569288,669285.5201614765,73.91545009613037
wi,29,western sahara,27603,31716.26876730504,0.15481328964233398
ym,7663,yemen,238314,286335.47360630444,24.031660079956055
zi,929,zimbabwe,95345,110530.77490119396,2.9861228466033936
